Client Username,Client IP Address,Client MAC Address,Association Time,Vendor,AP Name,Radio Type,Device Name,Map Location,SSID,Profile,VLAN ID,Protocol,Session Duration,Policy Type,Avg. Session Throughput(Kbps)
164c724c6f2e25d6cd2359216b6b37,10.250.222.229,6f3416c9a8471e879fe272e8a9b8c0,Sat Feb 24 00:38:41 PST 2018,NVIDIA,CVB-11-1135-1,802.11a/n,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CVB > Floor 11,SJSU_premier,SJSU_premier,120,802.11n(5GHz),7 hrs 25 min 57 sec,WPA2,340.4
164c724c6f2e25d6cd2359216b6b37,10.250.222.229,6f3416c9a8471e879fe272e8a9b8c0,Sat Feb 24 08:04:39 PST 2018,NVIDIA,CVB-11-1135-1,802.11b/g/n,SJS-0CC-112-C6K-WiSM-4b,Campus Housing > CVB > Floor 11,SJSU_premier,SJSU_premier,120,802.11n(2.4GHz),8 hrs 10 min 25 sec,WPA2,0.7
9913935871e9a863b55e16196eac09,10.250.35.251,2a083ef12824a3bb489f870601a5c2,Sat Feb 24 13:16:49 PST 2018,NVIDIA,ENG-4-487-1,802.11b/g/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > ENG > Floor 4,SJSU_premier,SJSU_premier,120,802.11n(2.4GHz),2 hrs 58 min 15 sec,WPA2,24.9
9c508d14b6f397cc7003a91bea4250,10.250.64.151,2b7a7b5fd041cc8c0e5b884eec036a,Fri Feb 23 16:38:44 PST 2018,NVIDIA,ENG-4-487-1,802.11b/g/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > ENG > Floor 4,SJSU_MyDevice,SJSU_MyDevice,120,802.11n(2.4GHz),1 hrs 48 min 10 sec,NOTAVAILABLE,0.9
9c508d14b6f397cc7003a91bea4250,10.250.64.151,2b7a7b5fd041cc8c0e5b884eec036a,Fri Feb 23 18:26:55 PST 2018,NVIDIA,ENG-4-487-1,802.11a/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > ENG > Floor 4,SJSU_MyDevice,SJSU_MyDevice,120,802.11n(5GHz),10 min 26 sec,NOTAVAILABLE,<0.1
9c508d14b6f397cc7003a91bea4250,10.250.64.151,2b7a7b5fd041cc8c0e5b884eec036a,Sat Feb 24 13:42:56 PST 2018,NVIDIA,ENG-4-487-1,802.11b/g/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > ENG > Floor 4,SJSU_MyDevice,SJSU_MyDevice,120,802.11n(2.4GHz),2 hrs 32 min 9 sec,NOTAVAILABLE,3.3
5ee105fec74471a7ae7a91c445e689,10.250.198.196,01f07347f34b426f851ec100007744,Sat Feb 24 11:00:26 PST 2018,NVIDIA,ENG-2-276-1,802.11b/g/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > ENG > Floor 2,SJSU_MyDevice,SJSU_MyDevice,120,802.11n(2.4GHz),15 min 36 sec,NOTAVAILABLE,"1,413.5"
5ee105fec74471a7ae7a91c445e689,10.250.198.196,01f07347f34b426f851ec100007744,Sat Feb 24 11:16:03 PST 2018,NVIDIA,ENG-2-276-1,802.11b/g/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > ENG > Floor 2,SJSU_MyDevice,SJSU_MyDevice,120,802.11n(2.4GHz),31 min 8 sec,NOTAVAILABLE,132.1
5ee105fec74471a7ae7a91c445e689,10.250.198.196,01f07347f34b426f851ec100007744,Sat Feb 24 11:47:11 PST 2018,NVIDIA,ENG-2-276-1,802.11b/g/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > ENG > Floor 2,SJSU_MyDevice,SJSU_MyDevice,120,802.11n(2.4GHz),10 min 23 sec,NOTAVAILABLE,"2,055.8"
5ee105fec74471a7ae7a91c445e689,10.250.198.196,01f07347f34b426f851ec100007744,Sat Feb 24 11:57:34 PST 2018,NVIDIA,ENG-2-276-1,802.11a/n,SJS-0CC-112-C6K-WiSM-3a,SJSUWIFI > ENG > Floor 2,SJSU_MyDevice,SJSU_MyDevice,120,802.11n(5GHz),1 hrs 13 min 30 sec,NOTAVAILABLE,"5,097.7"
